,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
482,Randy Nteka,laliga,0.24,0.00,0.24,0.26,0.26,0.04,1.03,0.63,3.71,1.66,0.79,0.14,0.16,0.04,0.79,0.08,0.00,1.89,0.00,0.79,15.14,3.87
483,Oliver McBurnie,laliga,0.13,0.38,0.13,0.25,0.25,0.17,0.38,1.59,4.14,1.59,0.51,0.08,0.15,0.06,1.40,0.00,0.06,2.42,0.38,0.51,12.43,4.91
484,Alberto Moleiro,laliga,0.23,0.03,0.23,0.21,0.21,0.12,3.28,4.29,6.56,2.34,0.94,0.10,0.09,0.13,1.27,0.39,0.10,3.61,0.23,0.94,20.56,3.35
485,Alvaro Garcia,laliga,0.11,0.18,0.11,0.28,0.28,0.17,2.52,2.49,8.84,2.42,0.82,0.04,0.12,0.16,1.74,0.07,0.60,3.55,0.21,0.82,22.13,4.37
486,Diego,laliga,0.30,0.00,0.30,0.34,0.34,0.02,0.80,1.29,4.08,2.19,0.80,0.14,0.16,0.02,0.50,0.00,0.10,0.99,0.10,0.80,12.53,3.18
487,Roberto Fernandez,laliga,0.37,0.07,0.37,0.32,0.32,0.05,0.89,0.96,3.84,1.99,0.81,0.19,0.16,0.03,0.44,0.00,0.00,1.70,0.37,0.81,10.11,2.95
488,Carlos Vicente,laliga,0.18,0.15,0.18,0.12,0.12,0.21,3.10,1.98,6.63,1.06,0.52,0.17,0.11,0.20,2.07,0.09,1.00,3.41,0.24,0.52,22.96,2.68
489,Fermin Lopez,laliga,0.43,0.37,0.43,0.43,0.43,0.25,2.55,4.68,7.03,2.87,1.17,0.15,0.15,0.22,1.49,0.27,0.27,3.09,0.43,1.17,26.51,4.52
490,Irvin Cardona,laliga,0.35,0.14,0.35,0.26,0.20,0.11,2.65,2.51,9.29,1.54,0.70,0.23,0.13,0.17,1.33,0.28,0.35,2.51,0.35,0.70,23.18,4.33
491,Ruben Vargas,laliga,0.24,0.08,0.24,0.26,0.26,0.14,3.26,2.62,8.50,2.30,0.56,0.10,0.12,0.17,1.67,0.00,0.48,4.13,0.24,0.56,24.55,3.97
492,Bryan Gil,laliga,0.12,0.12,0.12,0.12,0.12,0.18,4.04,3.96,10.94,1.53,0.66,0.08,0.08,0.18,1.24,0.00,0.41,3.14,0.21,0.66,29.34,4.13
493,Vitor Roque,laliga,0.28,0.00,0.28,0.44,0.44,0.08,1.90,1.26,4.50,3.02,1.33,0.09,0.14,0.05,0.84,0.07,0.21,2.39,0.28,1.33,13.21,4.15
494,Raul,laliga,0.41,0.00,0.41,0.33,0.33,0.06,1.46,1.71,4.47,2.68,1.38,0.15,0.13,0.04,0.32,0.00,0.00,1.95,0.16,1.38,14.30,4.39
495,Stoichkov,laliga,0.00,0.13,0.00,0.14,0.14,0.15,1.16,3.35,5.28,2.32,0.39,0.00,0.06,0.09,0.90,0.77,0.13,3.61,0.26,0.39,17.38,3.61
496,Akor Adams,laliga,0.25,0.06,0.25,0.34,0.34,0.07,0.81,0.81,3.60,2.05,0.87,0.12,0.17,0.02,0.81,0.06,0.00,1.67,0.37,0.87,10.23,3.78
497,Manuel Fuster,laliga,0.25,0.12,0.25,0.07,0.07,0.18,2.09,6.14,7.61,1.60,0.74,0.15,0.05,0.15,2.70,0.37,0.61,5.03,0.61,0.74,27.63,2.33
498,Ferran Torres,laliga,0.81,0.27,0.81,0.61,0.61,0.18,1.83,2.85,8.67,3.59,1.83,0.23,0.17,0.14,1.42,0.14,0.20,2.91,0.47,1.83,23.99,5.69
499,Vedat Muriqi,laliga,0.37,0.08,0.29,0.47,0.38,0.09,0.86,1.39,5.15,2.53,0.82,0.11,0.15,0.07,1.10,0.16,0.00,2.04,0.25,0.82,14.78,5.19
500,Nicolas Pepe,laliga,0.09,0.19,0.09,0.24,0.24,0.24,4.23,3.86,10.82,2.82,1.32,0.03,0.08,0.22,1.50,0.28,0.19,3.48,0.28,1.32,33.01,5.55
501,Coba da Costa,laliga,0.11,0.11,0.11,0.10,0.10,0.07,4.04,1.17,7.45,1.91,0.74,0.06,0.05,0.06,0.74,0.21,0.53,2.77,0.43,0.74,21.49,4.15
502,Alex Sola,laliga,0.00,0.15,0.00,0.08,0.08,0.08,2.03,2.26,5.27,1.36,0.30,0.00,0.06,0.08,0.90,0.00,0.08,2.56,0.23,0.30,19.81,2.94
503,Bryan Zaragoza,laliga,0.06,0.29,0.06,0.13,0.13,0.16,5.07,2.50,7.34,1.92,0.64,0.03,0.07,0.28,1.57,0.17,0.93,3.32,0.47,0.64,21.26,4.14
504,Ezequiel Avila,laliga,0.27,0.00,0.27,0.20,0.20,0.13,1.60,2.39,6.38,2.66,1.33,0.10,0.08,0.13,1.99,0.00,0.80,4.12,0.40,1.33,21.67,4.52
505,Aimar Oroz,laliga,0.17,0.07,0.17,0.14,0.14,0.07,2.10,4.78,4.13,1.49,0.47,0.11,0.10,0.11,1.12,0.27,0.10,2.61,0.20,0.47,17.93,2.44
506,Jonathan Bamba,laliga,0.09,0.09,0.09,0.09,0.09,0.19,3.55,3.46,7.47,1.28,0.64,0.07,0.07,0.16,1.37,0.27,0.55,2.92,0.36,0.64,19.40,2.46
507,Dani Olmo,laliga,0.58,0.19,0.52,0.41,0.37,0.27,2.98,6.35,7.00,3.05,0.97,0.17,0.12,0.28,2.01,0.84,0.06,4.47,0.78,0.97,26.76,5.18
508,Pep Chavarria,laliga,0.00,0.04,0.00,0.05,0.05,0.06,1.93,4.22,5.09,0.40,0.07,0.00,0.13,0.07,0.84,0.00,0.55,2.22,0.07,0.07,18.77,1.13
509,Hugo Duro,laliga,0.39,0.09,0.39,0.36,0.36,0.06,0.73,1.24,3.77,2.01,0.73,0.19,0.18,0.02,0.68,0.00,0.00,1.46,0.17,0.73,11.73,3.98
510,Rafa Mir,laliga,0.00,0.37,0.00,0.44,0.44,0.13,0.74,1.29,2.21,3.32,0.55,0.00,0.13,0.07,0.37,0.00,0.18,0.92,0.55,0.55,12.36,2.77
511,Arnaut Danjuma,laliga,0.24,0.10,0.24,0.27,0.27,0.12,6.10,2.52,11.14,2.33,0.95,0.10,0.11,0.16,1.33,0.14,0.52,2.86,0.14,0.95,25.24,5.00
512,Yaser Asprilla,laliga,0.20,0.00,0.20,0.11,0.11,0.14,3.88,5.46,8.42,2.43,0.66,0.08,0.05,0.19,1.58,0.46,0.46,4.14,0.39,0.66,28.42,2.63
513,Viktor Tsyhankov,laliga,0.17,0.30,0.17,0.19,0.19,0.17,2.67,3.71,10.04,1.85,0.47,0.09,0.10,0.25,1.68,0.17,0.39,3.41,0.52,0.47,27.59,4.01
514,Julian Alvarez,laliga,0.70,0.09,0.56,0.47,0.35,0.14,2.79,2.93,6.07,2.67,1.26,0.21,0.13,0.13,1.29,0.26,0.18,3.20,0.53,1.26,22.99,4.05
515,Alexander Sorloth,laliga,0.91,0.14,0.86,0.67,0.64,0.12,1.76,1.95,5.43,3.80,1.67,0.23,0.17,0.07,0.91,0.09,0.09,1.99,0.32,1.67,16.33,6.15
516,Aitor Ruibal,laliga,0.09,0.18,0.09,0.06,0.06,0.13,1.53,3.42,4.32,1.08,0.27,0.08,0.05,0.09,1.44,0.00,0.45,2.79,0.27,0.27,16.63,2.25
517,Fabio Silva,laliga,0.48,0.14,0.39,0.42,0.31,0.10,1.45,1.25,5.74,2.22,0.96,0.17,0.14,0.09,0.77,0.14,0.14,2.07,0.24,0.96,16.16,4.87
518,Juanmi,laliga,0.00,0.08,0.00,0.25,0.25,0.10,0.90,1.15,4.01,1.47,0.49,0.00,0.16,0.02,0.82,0.00,0.00,1.47,0.16,0.49,12.44,2.86
519,Cedric Bakambu,laliga,0.27,0.27,0.27,0.44,0.44,0.08,1.09,1.64,5.06,3.15,1.37,0.09,0.14,0.11,1.09,0.14,0.00,1.50,0.41,1.37,13.81,4.24
520,Bertug Yildirim,laliga,0.09,0.09,0.09,0.28,0.28,0.11,0.86,1.03,4.13,1.89,0.86,0.05,0.15,0.04,0.69,0.00,0.26,1.81,0.26,0.86,12.29,4.13
521,Dani Gomez,laliga,0.34,0.00,0.34,0.46,0.46,0.00,0.51,1.02,4.06,2.37,1.02,0.14,0.19,0.02,0.17,0.00,0.00,1.02,0.00,1.02,13.20,3.72
522,Kylian Mbappe,laliga,0.72,0.11,0.59,0.71,0.56,0.20,4.44,3.92,11.14,4.29,2.19,0.14,0.13,0.19,1.49,0.20,0.09,3.92,0.47,2.19,30.95,8.37
523,Asier Villalibre,laliga,0.38,0.19,0.19,0.44,0.30,0.19,0.76,1.52,4.18,2.28,0.95,0.08,0.13,0.08,0.57,0.19,0.00,1.71,0.19,0.95,14.24,5.51
524,Dani Rodriguez,laliga,0.15,0.27,0.15,0.11,0.11,0.12,1.64,3.82,4.62,1.14,0.38,0.13,0.09,0.16,1.26,0.42,0.31,2.82,0.50,0.38,17.24,2.10
525,Angel Correa,laliga,0.46,0.13,0.46,0.45,0.45,0.20,2.86,2.60,6.89,3.25,1.24,0.14,0.14,0.17,1.17,0.20,0.07,3.38,0.52,1.24,23.35,7.93
526,Carles Perez,laliga,0.18,0.00,0.18,0.15,0.15,0.09,2.11,1.41,4.92,2.17,0.64,0.08,0.07,0.08,1.00,0.12,0.47,2.34,0.06,0.64,18.63,2.87
527,Alfon,laliga,0.34,0.17,0.34,0.32,0.32,0.20,6.30,1.62,11.49,3.49,1.28,0.10,0.09,0.16,1.70,0.00,0.09,4.34,0.43,1.28,25.80,8.00
528,Abde Ezzalzouli,laliga,0.05,0.10,0.05,0.46,0.38,0.09,5.37,3.02,9.54,3.12,1.20,0.02,0.12,0.09,1.25,0.10,0.10,3.07,0.34,1.20,27.14,7.14
529,Roberto Navarro,laliga,0.05,0.00,0.05,0.13,0.13,0.16,3.14,3.55,6.17,1.44,0.46,0.04,0.09,0.11,1.34,0.26,0.26,3.50,0.10,0.46,20.56,2.98
530,Juan Cruz,laliga,0.19,0.14,0.19,0.08,0.08,0.15,2.55,2.74,5.61,1.39,0.56,0.13,0.06,0.15,0.97,0.32,0.60,2.23,0.23,0.56,17.30,1.76
531,Takefusa Kubo,laliga,0.22,0.09,0.22,0.13,0.13,0.23,5.65,4.41,9.03,1.92,0.71,0.11,0.07,0.19,2.11,0.28,0.28,4.47,0.34,0.71,29.02,4.81
532,Alejo Veliz,laliga,0.09,0.00,0.09,0.18,0.18,0.05,0.09,0.63,2.34,1.44,0.54,0.06,0.13,0.01,0.18,0.00,0.00,0.90,0.18,0.54,6.83,2.16
533,Raul Moro,laliga,0.19,0.10,0.19,0.16,0.16,0.20,4.28,3.31,7.64,1.80,0.63,0.11,0.09,0.22,1.80,0.19,0.92,3.85,0.24,0.63,21.66,4.33
534,Juan Bernat,laliga,0.00,0.26,0.00,0.05,0.05,0.13,0.78,2.33,6.22,0.65,0.13,0.00,0.08,0.10,1.17,0.00,0.39,1.82,0.26,0.13,17.12,2.85
535,Mikel Oyarzabal,laliga,0.40,0.12,0.21,0.44,0.27,0.11,1.55,1.31,5.84,1.70,0.64,0.13,0.16,0.09,0.73,0.09,0.12,2.04,0.40,0.64,13.51,4.54
536,Marvin,laliga,0.00,0.00,0.00,0.04,0.04,0.09,2.97,2.19,5.94,0.39,0.08,0.00,0.09,0.09,0.47,0.00,0.78,1.09,0.23,0.08,17.58,1.88
537,Abel Ruiz,laliga,0.26,0.00,0.20,0.30,0.20,0.07,1.44,1.51,5.05,1.38,0.46,0.14,0.14,0.07,0.59,0.07,0.07,0.98,0.07,0.46,11.82,3.94
538,Peter Gonzalez,laliga,0.00,0.00,0.00,0.12,0.12,0.13,2.33,1.71,7.35,2.20,0.49,0.00,0.06,0.07,1.35,0.00,0.73,2.69,0.24,0.49,21.43,3.92
539,Iago Aspas,laliga,0.44,0.22,0.18,0.44,0.20,0.18,2.79,6.77,7.08,2.08,0.75,0.09,0.10,0.20,1.82,0.89,0.22,3.90,0.71,0.75,23.77,3.85
540,Antoniu,laliga,0.00,0.12,0.00,0.10,0.10,0.14,3.37,2.62,5.37,1.12,0.50,0.00,0.09,0.12,0.87,0.25,0.37,2.50,0.12,0.50,14.48,2.00
541,Dodi Lukebakio,laliga,0.36,0.06,0.33,0.32,0.29,0.12,3.96,2.44,6.88,2.74,1.22,0.12,0.11,0.12,1.49,0.18,0.21,3.40,0.27,1.22,23.21,4.17
542,Nico Williams,laliga,0.34,0.28,0.34,0.24,0.24,0.18,5.82,3.15,11.70,2.58,0.99,0.13,0.09,0.19,2.07,0.11,0.40,5.05,0.68,0.99,31.60,5.20
543,John Joe,laliga,0.00,0.00,0.00,0.03,0.03,0.00,1.19,2.03,2.20,0.85,0.17,0.00,0.04,0.03,0.17,0.00,0.00,1.19,0.00,0.17,12.54,0.85
544,Dani Raba,laliga,0.43,0.25,0.19,0.42,0.18,0.22,2.10,3.28,4.70,1.55,0.49,0.12,0.12,0.20,2.16,0.74,0.12,4.76,0.62,0.49,18.25,1.79
545,Oscar Rodriguez Arnaiz,laliga,0.06,0.30,0.06,0.13,0.13,0.17,1.80,4.49,4.37,2.33,0.48,0.03,0.06,0.12,1.50,0.18,0.42,3.89,0.60,0.48,17.95,1.62
546,Gavi,laliga,0.09,0.09,0.09,0.08,0.08,0.13,0.90,4.84,4.12,0.72,0.18,0.13,0.11,0.10,1.26,0.18,0.09,2.78,0.18,0.18,17.66,2.42
547,Adri Embarba,laliga,0.05,0.15,0.05,0.12,0.12,0.18,2.85,2.66,6.14,2.42,0.77,0.02,0.05,0.15,1.55,0.10,0.53,3.14,0.29,0.77,23.78,2.66
548,Sergio Camello,laliga,0.19,0.13,0.19,0.28,0.28,0.16,1.51,2.08,4.85,2.46,0.69,0.08,0.11,0.08,1.51,0.50,0.00,3.15,0.31,0.69,15.24,3.65
549,Brahim Diaz,laliga,0.41,0.27,0.41,0.31,0.31,0.19,3.24,4.59,6.89,1.85,0.99,0.22,0.17,0.14,1.35,0.36,0.05,3.47,0.95,0.99,24.64,4.37
550,Cristhian Stuani,laliga,0.73,0.27,0.45,0.82,0.54,0.09,0.09,0.63,2.99,2.81,1.36,0.16,0.19,0.08,0.63,0.09,0.00,1.45,0.45,1.36,10.15,4.98
551,Vinicius Junior,laliga,0.61,0.18,0.51,0.51,0.40,0.28,7.18,2.98,10.89,3.34,1.24,0.15,0.12,0.27,2.02,0.43,0.30,4.90,0.61,1.24,32.63,8.37
552,Orri Steinn Oskarsson,laliga,0.48,0.00,0.48,0.57,0.57,0.05,0.48,0.82,4.97,2.18,0.89,0.22,0.26,0.04,0.55,0.00,0.07,1.09,0.00,0.89,14.65,4.29
553,Maroan Sannadi,laliga,0.13,0.13,0.13,0.51,0.51,0.17,2.42,2.15,9.27,3.49,0.81,0.04,0.15,0.13,1.75,0.13,0.00,3.36,0.40,0.81,21.63,7.52
554,Raphinha,laliga,0.68,0.42,0.61,0.56,0.50,0.46,3.13,4.45,10.41,3.59,1.34,0.17,0.14,0.33,2.98,0.32,0.56,5.38,0.83,1.34,33.37,5.55
555,Borja Iglesias,laliga,0.43,0.11,0.43,0.38,0.38,0.10,0.80,1.39,5.08,2.03,1.23,0.21,0.19,0.07,0.80,0.43,0.00,1.71,0.32,1.23,13.59,3.69
556,Jesus Rodriguez,laliga,0.11,0.00,0.11,0.20,0.20,0.01,4.52,2.63,8.62,2.21,0.74,0.05,0.09,0.04,0.63,0.00,0.21,3.15,0.53,0.74,24.08,5.36
557,Gerard Moreno,laliga,0.38,0.38,0.00,0.53,0.23,0.43,2.13,7.50,8.25,2.88,1.13,0.00,0.08,0.25,2.50,0.13,0.38,5.38,0.75,1.13,25.38,5.63
558,Ayoze Perez,laliga,0.73,0.09,0.73,0.50,0.50,0.14,3.45,3.67,6.21,3.45,1.38,0.21,0.14,0.10,1.42,0.30,0.22,3.45,0.22,1.38,18.55,6.90
559,Jon Guridi,laliga,0.25,0.04,0.21,0.20,0.17,0.06,1.22,3.75,3.67,1.14,0.59,0.19,0.15,0.05,0.89,0.04,0.13,2.02,0.34,0.59,14.25,2.66
560,Pablo Fornals,laliga,0.15,0.00,0.15,0.12,0.12,0.16,1.57,6.95,4.26,1.27,0.29,0.12,0.10,0.14,1.86,0.34,0.39,4.16,0.49,0.29,20.31,2.15
561,Sheraldo Becker,laliga,0.19,0.15,0.19,0.17,0.17,0.19,4.18,1.80,9.43,2.24,1.21,0.09,0.07,0.18,0.92,0.05,0.68,2.19,0.19,1.21,22.01,3.45
562,Suso,laliga,0.00,0.19,0.00,0.10,0.10,0.17,1.93,5.79,7.15,1.74,0.39,0.00,0.06,0.15,2.51,0.58,0.58,5.79,0.58,0.39,26.65,1.74
563,Toni Martinez,laliga,0.40,0.00,0.40,0.30,0.30,0.06,1.30,1.10,5.01,4.40,1.50,0.09,0.07,0.09,1.10,0.20,0.10,2.60,0.10,1.50,18.12,6.91
564,Ivan Sanchez,laliga,0.08,0.08,0.08,0.05,0.05,0.15,3.78,4.86,5.63,0.93,0.31,0.08,0.05,0.16,1.39,0.15,0.77,3.78,0.31,0.31,19.67,1.54
565,Bojan Miovski,laliga,0.16,0.08,0.16,0.35,0.28,0.02,0.32,0.40,3.62,1.61,0.56,0.10,0.18,0.02,0.24,0.00,0.08,0.88,0.40,0.56,9.48,3.21
566,Umar Sadiq,laliga,0.44,0.09,0.44,0.34,0.34,0.10,1.24,1.32,5.56,2.38,0.79,0.19,0.16,0.08,0.62,0.00,0.09,1.77,0.44,0.79,17.75,5.30
567,Pablo Duran,laliga,0.31,0.31,0.31,0.23,0.23,0.21,1.48,2.11,8.42,1.48,0.55,0.21,0.16,0.07,1.09,0.08,0.23,1.87,0.23,0.55,17.70,4.06
568,Domingos Andre Ribeiro Almeida,laliga,0.00,0.14,0.00,0.05,0.05,0.13,1.95,6.31,3.31,0.82,0.18,0.00,0.06,0.19,1.77,0.18,0.23,3.58,0.18,0.18,19.23,1.81
569,Borja Mayoral,laliga,0.54,0.13,0.40,0.39,0.28,0.05,0.27,1.48,3.63,1.75,0.81,0.23,0.16,0.03,0.40,0.00,0.00,1.48,0.27,0.81,15.20,3.09
570,Ramon Terrats,laliga,0.34,0.09,0.34,0.15,0.15,0.22,1.03,3.77,3.09,1.20,0.60,0.29,0.12,0.12,1.20,0.26,0.17,2.83,0.17,0.60,16.97,1.71
571,Chrisantus Uche,laliga,0.12,0.20,0.12,0.14,0.14,0.08,1.53,1.74,5.45,1.86,0.52,0.07,0.07,0.10,1.01,0.04,0.12,2.95,0.36,0.52,18.28,3.63
572,Munir El Haddadi,laliga,0.23,0.00,0.23,0.13,0.13,0.08,1.03,2.16,4.22,1.59,0.80,0.14,0.08,0.05,0.68,0.11,0.11,1.59,0.11,0.80,14.70,1.94
573,Carles Alena,laliga,0.00,0.14,0.00,0.10,0.10,0.06,1.37,4.39,3.31,1.08,0.22,0.00,0.10,0.07,1.15,0.14,0.22,2.88,0.22,0.22,17.21,2.02
574,Jaime Mata,laliga,0.10,0.00,0.10,0.36,0.36,0.02,0.71,0.92,5.40,1.83,0.61,0.06,0.19,0.04,0.51,0.00,0.20,1.73,0.10,0.61,14.88,4.08
575,Karim Adeyemi,bundesliga,0.36,0.24,0.36,0.29,0.29,0.31,4.40,1.86,8.73,2.94,1.15,0.12,0.10,0.17,1.47,0.16,0.24,3.45,0.60,1.15,22.65,5.51
576,Adam Hlozek,bundesliga,0.36,0.20,0.36,0.32,0.32,0.16,2.36,3.16,4.64,3.24,1.00,0.11,0.10,0.16,0.96,0.04,0.08,2.60,0.36,1.00,17.67,5.16
577,Igor Matanovic,bundesliga,0.15,0.15,0.15,0.28,0.28,0.06,0.30,1.64,4.78,3.28,1.34,0.05,0.09,0.04,0.75,0.30,0.00,2.09,0.30,1.34,13.73,4.48
578,Chris Fuhrich,bundesliga,0.14,0.07,0.14,0.12,0.12,0.15,5.01,4.90,9.58,1.55,0.65,0.09,0.08,0.30,1.37,0.32,0.54,3.64,0.25,0.65,30.62,4.97
579,Michael Gregoritsch,bundesliga,0.21,0.11,0.21,0.31,0.31,0.06,0.75,3.52,5.23,2.56,0.96,0.08,0.12,0.11,0.75,0.00,0.00,2.67,0.53,0.96,15.16,5.02
580,Andre Silva,bundesliga,0.36,0.24,0.12,0.61,0.32,0.12,1.68,1.93,6.50,2.77,0.96,0.04,0.12,0.10,1.08,0.36,0.12,2.89,0.36,0.96,18.41,5.53
581,Lucas Holer,bundesliga,0.24,0.20,0.24,0.36,0.32,0.12,0.83,2.25,5.72,1.61,0.78,0.15,0.21,0.08,0.93,0.05,0.05,2.44,0.29,0.78,16.32,3.91
582,Donyell Malen,bundesliga,0.71,0.07,0.71,0.59,0.59,0.09,3.13,2.13,10.09,3.48,1.63,0.20,0.18,0.10,0.57,0.07,0.14,2.20,0.64,1.63,25.43,6.39
583,Mathias Honsak,bundesliga,0.30,0.08,0.30,0.27,0.27,0.11,2.59,1.98,4.34,2.21,0.68,0.14,0.12,0.14,1.07,0.00,0.61,2.89,0.38,0.68,15.06,2.43
584,Fares Chaibi,bundesliga,0.06,0.11,0.06,0.19,0.19,0.24,1.65,4.73,6.44,2.17,0.68,0.03,0.09,0.26,2.34,0.29,0.63,4.22,0.34,0.68,24.28,2.68
585,Alassane Plea,bundesliga,0.46,0.18,0.41,0.34,0.31,0.15,2.43,5.23,6.70,1.97,0.64,0.21,0.16,0.15,1.19,0.73,0.37,3.17,0.55,0.64,19.93,3.49
586,Yorbe Vertessen,bundesliga,0.21,0.00,0.21,0.16,0.16,0.18,2.17,2.07,5.48,3.31,0.83,0.06,0.05,0.20,1.66,0.10,0.21,3.72,0.00,0.83,21.52,3.62
587,Jann Fiete Arp,bundesliga,0.26,0.00,0.13,0.49,0.28,0.13,1.68,2.72,8.28,2.59,1.16,0.05,0.11,0.22,1.42,0.13,0.39,4.27,0.39,1.16,18.88,3.62
588,Alexis Claude Maurice,bundesliga,0.43,0.10,0.43,0.19,0.19,0.05,2.54,2.35,4.40,2.30,0.91,0.19,0.08,0.08,0.77,0.14,0.19,2.78,0.29,0.91,17.81,2.78
589,Tim Kleindienst,bundesliga,0.53,0.16,0.49,0.45,0.40,0.18,1.42,2.18,4.88,2.54,1.22,0.19,0.16,0.12,0.96,0.23,0.03,2.34,0.46,1.22,14.14,4.71
590,Julien Duranville,bundesliga,0.00,0.00,0.00,0.05,0.05,0.11,4.80,2.56,9.91,1.28,0.48,0.00,0.04,0.22,0.80,0.32,0.32,3.20,0.80,0.48,25.26,5.12
591,Enzo Millot,bundesliga,0.24,0.31,0.24,0.34,0.28,0.22,1.93,5.70,6.35,2.04,0.75,0.12,0.14,0.24,1.43,0.44,0.20,3.73,0.58,0.75,23.69,3.70
592,Lukas Daschner,bundesliga,0.20,0.20,0.20,0.53,0.38,0.16,1.78,2.17,4.14,1.58,0.79,0.13,0.24,0.12,1.38,0.59,0.00,2.17,0.20,0.79,19.74,3.16
593,Shuto Machino,bundesliga,0.43,0.05,0.38,0.26,0.22,0.10,1.24,2.70,4.86,2.21,0.86,0.17,0.10,0.11,1.13,0.05,0.27,3.13,0.32,0.86,16.84,2.86
594,Michy Batshuayi,bundesliga,0.36,0.00,0.36,0.29,0.29,0.02,1.45,2.00,5.27,1.45,0.73,0.25,0.20,0.09,0.36,0.00,0.00,1.64,0.00,0.73,12.73,3.45
595,Daniel Svensson,bundesliga,0.12,0.00,0.12,0.07,0.07,0.07,1.40,4.43,3.85,0.70,0.47,0.17,0.10,0.08,1.17,0.00,0.47,2.45,0.23,0.47,18.30,2.45
596,Tom Bischof,bundesliga,0.18,0.12,0.18,0.08,0.08,0.15,1.85,5.01,3.71,1.88,0.61,0.10,0.04,0.20,2.04,0.15,0.33,4.59,0.27,0.61,22.67,1.82
597,Andreas Skov Olsen,bundesliga,0.12,0.12,0.12,0.21,0.21,0.23,4.39,3.90,7.68,1.95,0.61,0.06,0.11,0.21,2.32,0.12,0.37,5.00,0.12,0.61,22.80,3.05
598,Vincenzo Grifo,bundesliga,0.29,0.40,0.29,0.30,0.21,0.25,2.46,5.11,5.88,2.43,0.92,0.12,0.09,0.28,2.39,0.37,0.40,4.56,0.51,0.92,23.01,2.87
599,Phillip Tietz,bundesliga,0.30,0.10,0.25,0.29,0.25,0.07,0.40,1.89,5.38,2.29,0.70,0.11,0.11,0.07,1.05,0.05,0.05,2.29,0.25,0.70,15.05,3.84
600,Victor Boniface,bundesliga,0.73,0.06,0.61,0.75,0.61,0.07,2.63,1.96,6.31,4.29,1.35,0.14,0.14,0.11,0.67,0.37,0.12,2.39,0.37,1.35,18.86,6.67
601,Budu Zivzivadze,bundesliga,0.20,0.30,0.20,0.13,0.13,0.14,0.91,1.71,3.93,1.81,0.70,0.11,0.07,0.14,1.11,0.10,0.20,2.42,0.40,0.70,13.69,3.52
602,Benedict Hollerbach,bundesliga,0.38,0.04,0.38,0.27,0.27,0.06,3.54,2.36,7.51,2.71,0.84,0.14,0.10,0.10,0.91,0.11,0.15,2.67,0.23,0.84,20.39,5.30
